NPC;-PRICE;5;0;30188.14;Nova Labs;Noah Fox;0h 56m 50s ;3410.242
NPC;+STOCK;70;11;15287.48;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;58;10;15426.21;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;80;10;15030.41;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;68;10;14007.04;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;38;0;19796;Inovex;Goru Populan;11h 3m 47s ;39827.63
NPC;+STOCK;90;10;13638.09;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;-PRICE;68;0;13586.35;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;96;6;13521.51;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;105;9;12513.77;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;76;8;12494.19;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;-QTY;95;-10;12641.11;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;-QTY;0;-5;24974.03;Mazu Starship;Enoch Estates;19h 7m 15s ;68835.37
NPC;-PRICE;6;0;30174.35;RestJag Outlet;Daefore;19h 7m 15s ;68835.37
NPC;+STOCK;103;8;11508.3;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;86;10;10914.44;Proctors Center;Void Starcross;23h 4m 29s ;83069.7
