NPC;-PRICE;74;0;6058.685;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;+STOCK;28;11;4240.704;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;91;10;6967.23;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;37;8;7788.593;Psybermind;Ion Child;2h 36m 11s ;9371.667
NPC;+STOCK;36;8;3911.473;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;10;8;10642.83;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;101;10;6568.629;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;BAL;2;0;10258.63;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;-PRICE;71;0;6673.988;Valuestar Hub;Jelumus;4h 51m 22s ;17482.65
NPC;+STOCK;46;10;3796.292;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;10;8;9784.826;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;-PRICE;101;0;6479.77;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;52;6;3835.545;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;62;10;3449.5;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;109;8;6069.848;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;-QTY;51;-11;3494.073;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;BAL;65;-8;8479.168;Astrox Security Patrol;Kilotorish;20h 19m 44s ;73184.99
NPC;+STOCK;62;11;3186.334;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+PRICE;71;0;7142.833;Valuestar Hub;Jelumus;23h 4m 30s ;83070.77
NPC;-PRICE;66;0;5219.004;Medicore University;Cliffs of Drameria;23h 28m 40s ;84520.21
