NPC;-PRICE;18;0;77.0803;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;-PRICE;414;0;31.78743;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;-PRICE;142;0;62.48044;Holosynth Industries;Rats Of Mortalis;0h 56m 50s ;3410.242
NPC;+LOCAL;150;174;23.3025;Biomate University;Void Starcross;1h 30m 26s ;5426.412
NPC;BAL;501;-138;77.52546;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+LOCAL;150;3;23.3025;Biomate University;Void Starcross;1h 57m 4s ;7024.489
NPC;+STOCK;648;147;75.71485;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;420;137;38.20135;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;456;0;38.01149;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;+LOCAL;150;6;23.3025;Biomate University;Void Starcross;2h 30m 13s ;9013.771
NPC;+QTY;529;115;31.72725;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+LOCAL;150;3;23.3025;Biomate University;Void Starcross;2h 36m 32s ;9392.951
NPC;+LOCAL;150;6;23.3025;Biomate University;Void Starcross;2h 50m 9s ;10209.02
NPC;+LOCAL;150;18;23.3025;Biomate University;Void Starcross;3h 15m 34s ;11734.13
NPC;+LOCAL;150;4;23.3025;Biomate University;Void Starcross;3h 20m 14s ;12014.06
NPC;+LOCAL;150;1;23.3025;Biomate University;Void Starcross;3h 41m 18s ;13278.96
NPC;+STOCK;280;130;8.666738;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;559;121;51.9821;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;749;101;73.56895;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;142;0;63.93458;Holosynth Industries;Rats Of Mortalis;4h 16m 43s ;15403.89
NPC;+QTY;657;98;51.80325;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;538;137;40.23177;Temple of the Void;Valley of Truths;4h 47m 5s ;17225.82
NPC;-PRICE;304;0;28.9904;Valuestar Hub;Jelumus;4h 51m 22s ;17482.65
NPC;+QTY;275;133;63.77267;Holosynth Industries;Rats Of Mortalis;4h 54m 45s ;17685.59
NPC;+STOCK;218;146;56.70347;Lacuna Bandits;Ballast Crow;6h 31m 26s ;23486.09
NPC;+QTY;738;81;51.80325;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+QTY;708;90;30.87648;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;-LOCAL;0;0;100.0035;Horizons;Gate of Alpharis;8h 43m 5s ;31385.79
NPC;+PRICE;304;0;30.22909;Valuestar Hub;Jelumus;9h 36m 0s ;34560.29
NPC;-LOCAL;0;0;109.1139;Horizons;Gate of Alpharis;9h 39m 0s ;34740.27
