NPC;-PRICE;7;0;6157.144;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
PLAYER;-QTY;46;1;5337.5;Biomate University;Void Starcross;0h 2m 59s ;179.5098
NPC;+QTY;7;2;4437.5;Keyworx;Geminey;0h 50m 9s ;3009.769
NPC;BAL;24;-3;7977.921;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;14;-4;9068.197;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;+STOCK;8;3;4740.803;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;28;4;7684.505;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;37;3;10696.51;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;10;3;8697.758;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;27;4;8837.5;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+PRICE;18;0;9863.073;Spacebook;Phistatisia;2h 34m 4s ;9244.389
NPC;+QTY;14;2;4025;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+QTY;9;3;4517.5;Cosmic Jay's;Canndelis;2h 36m 11s ;9371.667
NPC;+QTY;11;4;4537.5;Lacuna Bandits;Ballast Crow;2h 36m 11s ;9371.667
NPC;+QTY;12;4;9937.5;Psybermind;Ion Child;2h 36m 11s ;9371.667
NPC;BAL;3;0;6455.067;Crystalis Broadcasting;Jermicus;2h 58m 0s ;10680.39
PLAYER;-QTY;45;1;5208.75;Biomate University;Void Starcross;3h 52m 32s ;13952.42
NPC;-QTY;7;-3;6708.75;Terra Drone;Geminey;4h 11m 42s ;15102.06
NPC;+STOCK;48;3;4921.151;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;11;3;4256.762;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;31;3;7510.303;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;41;4;10401.71;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;14;4;8526.036;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;17;4;10839.14;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;BAL;8;-2;9476.039;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+PRICE;7;0;5121.408;PharmaLife;Carioullis;4h 52m 11s ;17531.62
NPC;+QTY;6;2;8537.5;The Dunes;The Dunes of Caliph;4h 54m 45s ;17685.59
