NPC;-PRICE;93;0;9685.822;Holosynth Industries;Rats Of Mortalis;0h 56m 50s ;3410.242
NPC;BAL;100;-13;8107.451;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;65;-8;12441.86;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;+STOCK;140;12;11499.25;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;111;11;7695.583;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;36;13;14618.64;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;16;0;14370.68;Spacebook;Phistatisia;2h 34m 4s ;9244.389
NPC;BAL;127;-7;12801.13;ValueStar;Hunu;2h 58m 0s ;10680.39
NPC;+PRICE;133;0;14819.57;Janca Refinery;Canndelis;4h 11m 12s ;15072.39
NPC;-QTY;1;-11;15613.12;Terra Drone;Geminey;4h 11m 42s ;15102.06
NPC;+STOCK;154;14;11138.78;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;122;11;7391.007;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;46;10;13973.54;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;BAL;23;-13;13863.75;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;BAL;1;0;14452.86;Terra Drone;Geminey;4h 40m 21s ;16821.04
NPC;+QTY;167;13;11137.5;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
