NPC;+QTY;11;9;25872;Gunstellar;Adrenal;1h 7m 10s ;4030.626
NPC;+PRICE;38;0;25510.06;Gek Mining;Alias Outpost;2h 22m 22s ;8542.287
NPC;-LOCAL;0;0;39751.24;CoraVault;Lins;2h 47m 52s ;10072.21
NPC;+PRICE;0;0;49718.23;CoraVault;Lins;4h 31m 45s ;16305.97
NPC;+STOCK;52;8;33614.54;StarGypsy Warehouse;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;21;11;32218.77;StarShepards Headquarters;Void Starcross;5h 37m 58s ;20278.19
NPC;-LOCAL;0;0;67375;OmniTrust;Ponze;6h 16m 48s ;22608.67
NPC;+PRICE;10;0;33732.23;StarShepards Headquarters;Void Starcross;6h 48m 22s ;24502.02
NPC;-LOCAL;16;16;30318.75;OmniTrust;Ponze;8h 44m 50s ;31490.25
NPC;-LOCAL;5;0;30318.75;OmniTrust;Ponze;8h 49m 53s ;31793.95
NPC;-LOCAL;17;17;30318.75;CoraVault;Lins;8h 53m 52s ;32032.93
NPC;+STOCK;18;8;33313.46;StarShepards Headquarters;Void Starcross;12h 8m 53s ;43733.04
NPC;+STOCK;63;11;32742.95;StarGypsy Warehouse;Void Starcross;12h 11m 36s ;43896.82
NPC;-LOCAL;0;0;67375;OmniTrust;Ponze;15h 2m 26s ;54146.52
NPC;-LOCAL;0;0;67375;OmniTrust;Ponze;15h 3m 30s ;54210.23
NPC;-LOCAL;0;0;67375;CoraVault;Lins;15h 28m 16s ;55696.6
