// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;ValueStar
STATION;type;Trade Floor Facility
STATION;owner;Binofesiv Sedkeesed
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;valuestar.png
STATION;filename;sector_56_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-7-1-3-9-3-8-0-7-7-3-6-0-6-7-1-5-1-6-5-1-0-0
STATION;interior_seed;5-0-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;14001.83
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.60;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.84;npc_ship_data_(pirate_escort_1).txt
MERC;3;1.34;npc_ship_data_(pirate_shuttle_1).txt
MERC;6;0.72;npc_ship_data_(pirate_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (1) Items ;405x26;52.00;76337.75
BUYORDER;Market Items Req: (1) Items ;404x181;409.00;15871.00
ITEM;2023;232;1.18;1316.43
ITEM;2000;745;0.70;14.65
ITEM;1;599;0.93;6.93
ITEM;41;133;0.79;43.06
ITEM;51;284;1.18;104.67
ITEM;1532;28;0.67;73043.75
ITEM;2307;71;0.60;1268040.00
ITEM;1771;7;1.12;681771.10
ITEM;1766;39;0.80;527070.40
ITEM;1761;52;0.77;537762.30
ITEM;1642;39;0.72;78043.75
ITEM;1652;35;1.22;128043.80
ITEM;622;2;1.09;24663.08
ITEM;2145;4;0.70;358641.30
ITEM;1542;42;0.84;82840.25
ITEM;61;125;1.07;286.15
ITEM;1067;71;0.55;57579.52
ITEM;2127;17;1.09;542575.10
ITEM;2115;86;0.80;442695.10
ITEM;641;36;1.22;15685.36
ITEM;1065;5;0.84;77212.52
ITEM;2121;370;1.08;488962.60
ITEM;1602;29;1.04;79231.50
ITEM;1552;55;1.23;129043.80
ITEM;1562;13;0.74;86447.25
ITEM;2024;189;1.11;1366.36
ITEM;1612;72;0.57;42869.75
ITEM;2210;34;0.85;917721.00
ITEM;1069;25;0.58;65901.02
ITEM;401;24;0.57;3026.10
ITEM;667;37;0.98;366084.20
ITEM;310;0;1.88;331.83
ITEM;111;66;1.13;27.51
ITEM;2026;249;0.85;1286.03
ITEM;2027;218;1.15;1880.78
ITEM;302;50;0.93;45.10
ITEM;2028;686;1.04;1880.85
ITEM;2410;11;0.54;10262.68
ITEM;351;76;0.71;4268.93
ITEM;167;120;0.69;48.26
ITEM;169;109;0.87;65.82
ITEM;40;263;0.54;13.51
ITEM;1520;59;0.95;20208.75
ITEM;2300;1;0.53;177131.20
ITEM;1720;41;1.02;27010.94
ITEM;2299;36;1.01;321131.30
