NPC;-QTY;2;-7;15875;Quah Relay Station;Noah Fox;2h 45m 6s ;9906.131
NPC;-LOCAL;38;38;29241.84;StarGypsy Warehouse;Void Starcross;2h 46m 5s ;9965.965
NPC;-LOCAL;0;0;38479.12;StarGypsy Warehouse;Void Starcross;2h 55m 46s ;10546.06
NPC;+STOCK;10;8;32440.57;Tella's;Bitcola;3h 44m 31s ;13471.02
NPC;-LOCAL;59;59;28125;StarGypsy Warehouse;Void Starcross;3h 59m 58s ;14398.3
NPC;-QTY;27;-10;30593.75;Mazu Starship;Enoch Estates;4h 19m 23s ;15563.92
NPC;-LOCAL;0;0;62500;StarGypsy Warehouse;Void Starcross;5h 44m 9s ;20649.97
NPC;-LOCAL;22;22;29258.31;StarGypsy Warehouse;Void Starcross;6h 49m 32s ;24572.41
NPC;-LOCAL;0;0;61053;StarGypsy Warehouse;Void Starcross;7h 28m 1s ;26881.37
NPC;+STOCK;80;8;16607.87;Biomate University;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;10;10;75849.89;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;80;11;25485.38;Starbase Corporate Center;Void Starcross;7h 47m 19s ;28039.67
NPC;-LOCAL;0;0;62500;StarGypsy Warehouse;Void Starcross;8h 32m 1s ;30721.06
