NPC;-QTY;3;-6;31202.73;Acrondia Corp.;Crown of Imperium;1h 27m 18s ;5238.454
NPC;-LOCAL;66;66;28871.37;StarGypsy Warehouse;Void Starcross;2h 46m 5s ;9965.965
NPC;-LOCAL;0;0;38229.12;StarGypsy Warehouse;Void Starcross;2h 55m 46s ;10546.06
NPC;-LOCAL;0;0;62500;StarGypsy Warehouse;Void Starcross;3h 59m 58s ;14398.3
NPC;+STOCK;60;8;26754.59;Temple of the Void;Valley of Truths;4h 34m 31s ;16471.27
NPC;+STOCK;27;8;17107.69;Gemini Mining;Jala;4h 52m 43s ;17563.45
NPC;-LOCAL;72;72;28125;StarGypsy Warehouse;Void Starcross;5h 44m 9s ;20649.97
NPC;-LOCAL;37;37;28766.45;StarGypsy Warehouse;Void Starcross;6h 49m 32s ;24572.41
NPC;-LOCAL;24;24;28125;StarGypsy Warehouse;Void Starcross;7h 28m 1s ;26881.37
NPC;+STOCK;65;10;18333.98;Lammassu Financial;Void Starcross;7h 47m 19s ;28039.67
NPC;+STOCK;33;9;35209.31;StarGypsy Warehouse;Void Starcross;7h 47m 19s ;28039.67
NPC;-LOCAL;54;54;28910.58;StarGypsy Warehouse;Void Starcross;8h 32m 1s ;30721.06
NPC;+PRICE;8;0;20711.6;Genistar;Blades of Dandrow;11h 27m 50s ;41270.23
NPC;-LOCAL;0;0;62500;StarGypsy Warehouse;Void Starcross;14h 19m 28s ;51568.39
NPC;+STOCK;19;11;32110.12;Tella's;Bitcola;15h 8m 58s ;54538.96
NPC;-QTY;0;0;81081.64;StarGypsy Warehouse;Void Starcross;15h 18m 9s ;55089.98
NPC;-PRICE;13;0;26884.63;Scrapdogs;Gemini Els;16h 31m 13s ;59473.96
