// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Dustardz
STATION;type;Training Post
STATION;owner;Bueastar Quoa
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;2
STATION;icon;dustardz.png
STATION;filename;sector_89_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-1-0-3-4-3-5-0-4-2-0-0-0-6-7-2-5-0-2-1-3-0-0
STATION;interior_seed;4-2-15-0
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;1.23;npc_ship_data_(recon_frigate_1).txt
MERC;8;1.41;npc_ship_data_(pirate_shuttle_1).txt
MERC;1;1.72;npc_ship_data_(excavation_escort_1).txt
MERC;1;0.56;npc_ship_data_(transport_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>

ITEM;1200;4;0.94;0
ITEM;1055;4;1.11;0
ITEM;1150;1;1.18;0
ITEM;1054;12;1.06;2440.645
ITEM;1121;15;1.09;2440.645
ITEM;1100;12;0.91;2440.645
ITEM;1057;5;0.91;2440.645
ITEM;1450;0;0.95;4231.604
ITEM;1171;0;0.65;4231.604
ITEM;1120;5;1.13;4231.604
ITEM;1300;7;1.23;4231.604
ITEM;1611;10;1.13;4231.604
ITEM;1530;19;1.07;4231.604
ITEM;1601;2;0.62;4231.604
ITEM;1640;4;0.87;4231.604
ITEM;1521;16;0.64;4231.604
ITEM;1571;11;0.68;4231.604
ITEM;1561;16;1.06;3083.047
ITEM;1751;2;1.08;3083.047
ITEM;1651;18;0.75;3083.047
ITEM;1630;13;0.66;3083.047
ITEM;1591;9;0.56;1587.33
ITEM;62;47;1.08;1587.33
ITEM;40;54;0.81;1587.33
ITEM;2118;0;0.56;1587.33
ITEM;2124;77;0.67;1587.33
ITEM;2650;37;1.10;1587.33
ITEM;2113;57;1.05;1587.33
ITEM;2122;92;0.93;1587.33
ITEM;2111;12;0.84;30.46365
ITEM;2130;38;0.79;101.9256
ITEM;61;91;0.55;40.24443
ITEM;2125;0;0.58;40.24443
ITEM;51;56;1.05;40.24443
ITEM;70;0;0.67;40.24443
ITEM;2120;51;1.21;40.24443
ITEM;41;65;0.93;17.15952
ITEM;78;0;0.80;17.15952
ITEM;2128;0;1.03;17.15952
ITEM;2126;34;0.71;17.15952
ITEM;2652;41;0.98;17.15952
ITEM;53;53;0.97;17.15952
ITEM;712;16;0.60;17.15952
ITEM;733;5;1.05;17.15952
ITEM;675;9;0.73;17.15952
ITEM;692;39;0.51;17.15952
ITEM;749;7;0.71;17.15952
