// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Vita Assembly
STATION;type;Assembly Station
STATION;owner;Yergale Feivel
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;3
STATION;icon;vita.png
STATION;filename;sector_109_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-3-1-5-2-3-7-1-1-6-0-5-1-4-2-0-0-90
STATION;interior_seed;5-9-0-9
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.29;npc_ship_data_(support_utility_1).txt
MERC;6;1.42;npc_ship_data_(recon_shuttle_1).txt
MERC;9;1.93;npc_ship_data_(excavation_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1402;19;0.92
ITEM;1100;9;0.51
ITEM;1400;6;1.16
ITEM;1170;11;1.18
ITEM;1007;26;0.53
ITEM;1003;13;0.57
ITEM;1062;17;0.98
ITEM;1470;17;0.63
ITEM;1110;2;0.65
ITEM;1002;21;1.07
ITEM;1152;11;0.68
ITEM;1059;29;0.80
ITEM;1122;23;0.98
ITEM;1172;4;0.62
ITEM;1300;24;0.78
ITEM;1121;2;0.93
ITEM;1511;4;1.03
ITEM;1541;24;0.63
ITEM;1710;15;0.94
ITEM;1572;26;0.50
ITEM;1561;7;0.72
ITEM;1630;10;1.18
ITEM;1600;7;1.00
ITEM;1510;18;1.22
ITEM;1751;13;0.75
ITEM;1632;23;0.60
ITEM;1580;7;0.65
ITEM;1562;20;0.95
ITEM;1540;3;1.13
ITEM;1521;2;0.55
ITEM;1617;22;0.98
ITEM;1621;17;0.69
ITEM;1610;22;0.73
ITEM;1531;15;1.20
ITEM;1591;1;1.02
ITEM;1615;10;0.51
ITEM;1652;15;1.23
ITEM;1642;28;0.53
ITEM;1501;12;1.12
ITEM;42;47;1.21
ITEM;2119;135;0.85
ITEM;2651;21;1.19
ITEM;61;20;1.13
ITEM;2118;59;0.77
ITEM;43;46;0.79
ITEM;2652;66;1.05
ITEM;2128;36;0.68
ITEM;2129;119;0.85
ITEM;76;94;1.16
ITEM;2114;20;0.91
ITEM;52;24;0.77
ITEM;2115;72;0.59
ITEM;2121;26;0.73
ITEM;60;134;1.11
ITEM;2124;139;0.66
ITEM;2113;36;1.14
ITEM;75;86;0.76
ITEM;51;104;0.78
ITEM;62;115;0.75
ITEM;53;101;0.69
ITEM;63;92;0.68
ITEM;2127;106;1.23
ITEM;40;56;1.25
ITEM;70;146;1.03
ITEM;670;51;0.72
ITEM;733;5;0.57
ITEM;702;26;0.76
ITEM;729;35;0.89
ITEM;758;54;0.58
ITEM;754;15;0.72
ITEM;677;11;0.62
ITEM;759;2;1.03
ITEM;727;55;1.16
ITEM;738;45;1.20
ITEM;701;10;0.62
ITEM;679;41;1.16
ITEM;742;59;0.84
ITEM;755;31;1.09
ITEM;734;20;0.69
ITEM;673;23;0.54
ITEM;728;1;0.63
ITEM;693;48;1.08
ITEM;726;26;0.65
ITEM;680;7;1.02
ITEM;692;31;0.75
ITEM;748;9;0.86
ITEM;750;9;0.54
ITEM;700;12;0.85
ITEM;622;2;0.60
ITEM;642;9;0.73
ITEM;601;10;0.51
ITEM;661;13;0.63
ITEM;602;1;0.59
ITEM;600;6;0.55
ITEM;641;2;0.65
ITEM;621;13;0.54
ITEM;660;2;1.15
ITEM;662;1;0.56
ITEM;640;5;0.90
ITEM;620;14;1.17
ITEM;304;15;1.16
ITEM;310;25;0.93
ITEM;405;21;1.22
ITEM;301;5;1.12
ITEM;302;16;1.24
ITEM;313;2;0.58
ITEM;406;28;0.80
ITEM;303;25;0.70
ITEM;408;2;1.06
ITEM;407;28;0.53
ITEM;312;12;0.69
ITEM;311;29;0.57
ITEM;403;13;1.00
ITEM;300;27;1.15
ITEM;404;20;0.54
ITEM;305;2;1.13
ITEM;22;74;0.67
ITEM;20;169;0.52
ITEM;3;93;0.63
ITEM;21;181;0.64
ITEM;2;250;0.81
ITEM;1;11;1.24
ITEM;109;260;0.72
ITEM;118;338;0.85
ITEM;114;417;0.61
ITEM;103;139;0.95
ITEM;101;331;1.10
ITEM;113;304;0.60
ITEM;100;202;0.67
ITEM;104;1;0.62
ITEM;102;44;0.86
ITEM;151;230;0.80
ITEM;153;75;0.56
ITEM;400;147;1.24
ITEM;161;62;0.62
ITEM;164;144;1.25
ITEM;200;25;0.76
ITEM;170;283;1.04
ITEM;165;65;0.67
ITEM;168;70;0.97
ITEM;156;34;1.20
ITEM;159;130;1.10
ITEM;203;175;0.88
ITEM;150;164;0.83
ITEM;154;128;1.11
ITEM;201;289;1.10
ITEM;160;262;1.00
ITEM;207;101;1.20
ITEM;208;109;0.82
ITEM;162;91;0.73
ITEM;202;38;1.22
ITEM;169;234;1.12
ITEM;206;257;1.21
ITEM;166;299;1.19
ITEM;155;179;0.83
ITEM;204;295;1.06
ITEM;157;160;0.93
ITEM;2200;14;1.16
ITEM;2441;2;0.63
ITEM;2306;24;1.24
ITEM;2192;20;0.78
ITEM;2438;27;0.90
ITEM;2316;6;0.80
ITEM;2340;1;0.66
ITEM;2363;28;0.62
ITEM;2358;2;1.06
ITEM;2202;14;1.15
ITEM;2212;14;0.92
ITEM;2132;6;1.24
ITEM;2346;4;0.88
ITEM;2408;20;0.71
ITEM;2397;17;0.54
ITEM;2285;22;0.96
ITEM;2433;13;1.03
ITEM;2450;23;1.05
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;11;1.66
SKILL;23;1.63
SKILL;73;1.07
SKILL;3;1.82
SKILL;31;1.11
SKILL;36;0.82
SKILL;61;1.92
SKILL;229;1.37
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.96;ship_data_(excavation_frigate_1).txt
SHIP;2;0.91;ship_data_(recon_shuttle_1).txt
SHIP;3;1.02;ship_data_(battle_cruiser_1).txt
SHIP;4;0.98;ship_data_(battle_frigate_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
