// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Mazu Starship
STATION;type;Production Factory
STATION;owner;Robert Nickles
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;4
STATION;icon;mazu_starship.png
STATION;filename;sector_5_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-4-0-1-5-3-3-1-4-0-0-7-90
STATION;interior_seed;3-5-30-5
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.50;npc_ship_data_(support_escort_1).txt
MERC;8;1.00;npc_ship_data_(battle_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sell Order for: (1) Items ;727x23;209671;106268.90
BUYORDER;Market Needs Goods: (1) Items ;5x170;25539;88747.85
BUYORDER;Market Shortage: (1) Items ;9x102;170553;122113.90
BUYORDER;Buying: (1) Items ;342x2013;38932;79009.18

BUYORDER;Market Out of Stock: (2) Items ;6x139,4x541;141149;73470.18
BUYORDER;Market Out of Stock: (2) Items ;2x256,5x674;168821;53503.18
BUYORDER;Market Needs Goods: (1) Items ;3x69;6855;80558.77

ITEM;1202;5;0.81;0
ITEM;1111;27;1.25;0
ITEM;1113;18;0.64;0
ITEM;1451;20;1.02;0
ITEM;1450;6;0.69;0
ITEM;1161;30;0.96;0
ITEM;1153;16;0.72;0
ITEM;1067;25;1.09;18010.9
ITEM;1400;8;0.89;18010.9
ITEM;1008;27;0.74;18010.9
ITEM;1102;30;0.86;18010.9
ITEM;1050;38;0.92;18010.9
ITEM;1200;13;0.99;18010.9
ITEM;1065;3;1.02;18010.9
ITEM;1162;28;0.62;18010.9
ITEM;1403;16;0.79;18010.9
ITEM;1103;13;0.85;18010.9
ITEM;1173;24;1.13;18010.9
ITEM;1150;22;0.62;18010.9
ITEM;1055;3;1.04;3931.617
ITEM;1059;12;1.05;3931.617
ITEM;1201;22;1.04;3931.617
ITEM;1112;3;0.55;3931.617
ITEM;1015;1;0.72;3931.617
ITEM;1152;15;1.20;3931.617
ITEM;1591;22;1.02;3201.331
ITEM;1583;12;0.52;59974.47
ITEM;1623;2;1.08;59974.47
ITEM;1701;39;1.12;59974.47
ITEM;1720;30;0.59;59974.47
ITEM;1503;1;1.00;59974.47
ITEM;1642;16;0.76;30779.49
ITEM;1650;30;1.12;30779.49
ITEM;1590;9;0.71;30779.49
ITEM;1580;24;0.73;30779.49
ITEM;1522;29;0.69;30779.49
ITEM;1560;21;1.12;30779.49
ITEM;1653;31;0.59;30779.49
ITEM;1615;36;1.09;30779.49
ITEM;1581;15;0.79;7678.331
ITEM;1512;20;1.11;7678.331
ITEM;1643;5;1.07;7678.331
ITEM;1513;12;0.90;7678.331
ITEM;1553;32;1.04;7678.331
ITEM;1616;32;0.84;7678.331
ITEM;1520;32;0.51;7678.331
